Sample ID	COG-UK ID	GISAID Accession	GISAID Secondary Accession	ENA Sample Accession	ENA Run Accession
S0449	#N/A	#N/A	#N/A	#N/A	#N/A
S0450	#N/A	#N/A	#N/A	#N/A	#N/A
S0451	LOND-125185E	0	0	0	0
S0452	#N/A	#N/A	#N/A	#N/A	#N/A
S0453	LOND-1323EAD	0	0	0	0
S0454	#N/A	#N/A	#N/A	#N/A	#N/A
S0455	#N/A	#N/A	#N/A	#N/A	#N/A
S0456	#N/A	#N/A	#N/A	#N/A	#N/A
S0457	#N/A	#N/A	#N/A	#N/A	#N/A
S0458	#N/A	#N/A	#N/A	#N/A	#N/A
S0459	#N/A	#N/A	#N/A	#N/A	#N/A
S0460	#N/A	#N/A	#N/A	#N/A	#N/A
S0461	LOND-12539C2	EPI_ISL_842791	hCoV-19/England/LOND-12539C2/2020	ERS5666655	ERR5229573
S0462	#N/A	#N/A	#N/A	#N/A	#N/A
S0463	#N/A	#N/A	#N/A	#N/A	#N/A
S0464	LOND-1253968	EPI_ISL_842788	hCoV-19/England/LOND-1253968/2020	ERS5665075	ERR5227974
S0465	#N/A	#N/A	#N/A	#N/A	#N/A
S0466	#N/A	#N/A	#N/A	#N/A	#N/A
S0467	#N/A	#N/A	#N/A	#N/A	#N/A
S0468	LOND-12536DA	0	0	0	0
S0469	LOND-125368F	0	0	0	0
S0470	LOND-1253986	0	0	0	0
S0471	LOND-125369E	0	0	0	0
S0472	LOND-1253467	0	0	0	0
S0473	LOND-12534EF	0	0	0	0
S0474	LOND-1253485	0	0	0	0
S0475	#N/A	#N/A	#N/A	#N/A	#N/A
S0476	LOND-12534A3	EPI_ISL_842749	hCoV-19/England/LOND-12534A3/2020	ERS5664268	ERR5227174
S0477	#N/A	#N/A	#N/A	#N/A	#N/A
S0478	LOND-125295A	0	0	0	0
S0479	#N/A	#N/A	#N/A	#N/A	#N/A
S0480	#N/A	#N/A	#N/A	#N/A	#N/A
S0481	#N/A	#N/A	#N/A	#N/A	#N/A
S0482	LOND-12532C7	0	0	0	0
S0483	LOND-12527BA	0	0	0	0
S0484	LOND-1323EDA	0	0	0	0
S0485	LOND-1252978	0	0	0	0
S0486	LOND-125291E	0	0	0	0
S0487	LOND-125285D	0	0	0	0
S0488	#N/A	#N/A	#N/A	#N/A	#N/A
S0489	LOND-1323DBF	0	0	0	0
S0490	LOND-13247B0	0	0	0	0
S0491	LOND-12529C3	0	0	0	0
S0492	LOND-1325B3B	0	0	0	0
S0493	LOND-1325EE7	0	0	0	0
S0494	#N/A	#N/A	#N/A	#N/A	#N/A
S0495	#N/A	#N/A	#N/A	#N/A	#N/A
S0496	#N/A	#N/A	#N/A	#N/A	#N/A
S0497	#N/A	#N/A	#N/A	#N/A	#N/A
S0498	LOND-1326341	0	0	0	0
